# Force coefficients
# liftDir    : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf    : 2.000000e+01
# lRef       : 1.420000e+00
# Aref       : 7.500000e-01
# CofR       : (7.200000e-01 0.000000e+00 0.000000e+00)
#
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
67           	5.699052e+00	2.643574e+00	2.791007e-01	5.838603e+00	-5.559502e+00
68           	5.672558e+00	2.635865e+00	2.593227e-01	5.802220e+00	-5.542897e+00
69           	5.646398e+00	2.634182e+00	2.161721e-01	5.754484e+00	-5.538312e+00
70           	5.604199e+00	2.628288e+00	1.606828e-01	5.684540e+00	-5.523857e+00
71           	5.542860e+00	2.614942e+00	1.010472e-01	5.593383e+00	-5.492336e+00
72           	5.473510e+00	2.596753e+00	4.677663e-02	5.496898e+00	-5.450121e+00
73           	5.408889e+00	2.577621e+00	2.129910e-03	5.409954e+00	-5.407824e+00
74           	5.351762e+00	2.559420e+00	-3.604197e-02	5.333742e+00	-5.369783e+00
75           	5.306197e+00	2.545078e+00	-6.779311e-02	5.272300e+00	-5.340093e+00
76           	5.278667e+00	2.538571e+00	-9.494614e-02	5.231194e+00	-5.326140e+00
77           	5.274530e+00	2.541772e+00	-1.161597e-01	5.216450e+00	-5.332610e+00
78           	5.296119e+00	2.555374e+00	-1.314871e-01	5.230376e+00	-5.361863e+00
79           	5.336321e+00	2.576776e+00	-1.437497e-01	5.264446e+00	-5.408196e+00
80           	5.385789e+00	2.601535e+00	-1.526041e-01	5.309487e+00	-5.462092e+00
81           	5.439548e+00	2.627225e+00	-1.571538e-01	5.360971e+00	-5.518125e+00
82           	5.496017e+00	2.652905e+00	-1.560957e-01	5.417969e+00	-5.574065e+00
83           	5.556542e+00	2.678855e+00	-1.473326e-01	5.482875e+00	-5.630208e+00
84           	5.620609e+00	2.704577e+00	-1.290529e-01	5.556082e+00	-5.685135e+00
85           	5.685393e+00	2.728976e+00	-1.009583e-01	5.634914e+00	-5.735872e+00
86           	5.742599e+00	2.748741e+00	-6.456740e-02	5.710315e+00	-5.774883e+00
87           	5.785387e+00	2.760910e+00	-2.074340e-02	5.775015e+00	-5.795758e+00
88           	5.808386e+00	2.763077e+00	2.881813e-02	5.822795e+00	-5.793977e+00
89           	5.805566e+00	2.753182e+00	7.880209e-02	5.844967e+00	-5.766165e+00
90           	5.772663e+00	2.730450e+00	1.220617e-01	5.833694e+00	-5.711632e+00
91           	5.713357e+00	2.697903e+00	1.513783e-01	5.789046e+00	-5.637667e+00
92           	5.638883e+00	2.662123e+00	1.614813e-01	5.719624e+00	-5.558142e+00
93           	5.562668e+00	2.630400e+00	1.508373e-01	5.638086e+00	-5.487249e+00
94           	5.494898e+00	2.607719e+00	1.223830e-01	5.556090e+00	-5.433707e+00
95           	5.443818e+00	2.596684e+00	8.291750e-02	5.485277e+00	-5.402360e+00
96           	5.420953e+00	2.601676e+00	3.675478e-02	5.439331e+00	-5.402576e+00
97           	5.413327e+00	2.614734e+00	-1.082146e-02	5.407917e+00	-5.418738e+00
98           	5.412639e+00	2.629608e+00	-5.616808e-02	5.384555e+00	-5.440723e+00
99           	5.405359e+00	2.639020e+00	-9.766591e-02	5.356526e+00	-5.454192e+00
100          	5.402032e+00	2.646660e+00	-1.291145e-01	5.337475e+00	-5.466590e+00
